11.200732983999998,0,0,453,1,0,1,1,1,1,1,4,239,766,1223,1408,1482,23.312,22.562,23.25,23.375,22.875,23.25,22.625
23.360885365,0,1,456,1,0,0,0,1,2,1,6,241,797,1270,1482,1555,23.125,22.5,23.125,23.25,22.875,23.125,22.562
35.425393137,0,0,458,1,0,0,0,2,2,2,2,242,795,1259,1480,1557,23.0,22.437,23.125,23.25,22.875,23.062,22.562
47.489131011,0,1,456,0,1,1,1,2,0,0,2,238,801,1274,1490,1563,26.687,22.437,23.125,23.312,22.875,22.937,22.562
59.55281015,0,1,454,1,0,1,0,0,0,1,3,241,800,1269,1490,1562,27.625,22.437,23.187,23.312,22.937,22.937,22.562
71.616748945,0,1,456,1,1,0,2,2,2,0,6,243,793,1264,1479,1555,26.875,25.687,23.187,23.375,23.0,22.937,22.562
83.649389957,0,1,456,1,0,0,0,1,0,0,6,241,796,1266,1481,1560,26.437,27.5,23.25,23.375,23.125,22.937,22.625
95.712766992,0,0,456,0,0,1,1,2,1,1,5,240,796,1266,1480,1554,26.0,25.687,24.0,23.437,23.125,22.937,22.562
107.776752471,0,0,455,0,1,1,1,2,1,1,4,241,798,1268,1483,1558,25.0,24.562,26.187,23.437,23.125,22.875,22.562
119.84077655200001,0,0,455,1,0,0,1,1,0,1,4,241,794,1263,1480,1553,24.375,23.875,26.625,23.5,23.125,22.875,22.562
131.93678609199998,0,0,455,0,0,1,1,1,0,0,3,236,797,1268,1482,1557,24.0,23.375,25.375,26.25,23.062,22.812,22.562
143.96943693600002,0,0,452,1,0,0,0,1,0,0,5,240,792,1262,1476,1555,23.75,23.125,24.75,26.5,23.812,22.812,22.5
156.032777678,0,1,454,0,0,1,0,1,0,0,6,237,785,1259,1475,1555,23.5,23.0,24.312,25.187,26.312,23.562,22.5
168.09677954199998,0,0,454,0,0,2,1,2,2,0,6,240,784,1250,1461,1538,23.5,22.875,24.0,24.562,26.25,23.562,22.875
180.160653938,0,1,451,1,1,0,0,0,1,1,2,235,777,1243,1455,1536,23.437,22.75,23.812,24.25,25.125,29.625,22.687
192.22478736,0,0,454,1,0,0,1,1,0,2,5,239,781,1250,1462,1540,23.375,22.687,23.687,24.0,24.562,28.75,22.625
204.31265628699998,0,0,454,0,1,0,0,0,1,1,2,235,785,1252,1465,1541,23.25,22.625,23.562,23.875,24.125,27.125,22.625
216.38465174099997,0,0,454,1,0,0,0,0,0,1,5,238,786,1249,1464,1541,23.125,22.625,23.437,23.687,23.875,26.187,22.625
228.44877737299998,0,0,454,1,0,1,1,1,1,0,4,238,786,1253,1469,1548,23.187,22.687,23.375,23.687,23.75,25.812,22.687
240.54471290499998,0,1,453,1,0,1,1,2,1,1,6,240,788,1256,1468,1548,23.187,22.687,23.312,23.625,23.687,25.375,22.687
